id,industry_id,parent_id,name,cate,industry_name,parent_name,count,pre_name,category_id
1069,0,0,翻译,专业咨询类,nan_industry,nan_parent,78521,翻译,55
1918,515,0,咨询顾问,专业咨询类,专业服务,nan_parent,67977,咨询顾问,55
194,0,0,战略师,专业咨询类,nan_industry,nan_parent,17849,战略师,55
1917,515,0,心理咨询师,专业咨询类,专业服务,nan_parent,1736,心理咨询师,55
1750,519,0,测试工程师,质量安全类,工业,nan_parent,787067,测试工程师,33
1749,519,0,质量工程师,质量安全类,工业,nan_parent,621870,质量工程师,33
1740,519,0,品质工程师,质量安全类,工业,nan_parent,128600,品质工程师,33
2075,519,0,检测工程师,质量安全类,工业,nan_parent,86902,检测工程师,33
1079,0,0,质量检验,质量安全类,nan_industry,nan_parent,13723,质量检验,33
2093,519,0,可靠性工程师,质量安全类,工业,nan_parent,12784,可靠性工程师,33
2095,519,0,标准化工程师,质量安全类,工业,nan_parent,7383,标准化工程师,33
2025,519,0,供应商质量,质量安全类,工业,nan_parent,7114,供应商质量,33
2194,526,0,ehs工程师,质量安全类,能源,nan_parent,6273,ehs工程师,33
1743,519,0,良率工程师,质量安全类,工业,nan_parent,1368,良率工程师,33
1752,519,0,现场安全工程师,质量安全类,工业,nan_parent,770,现场安全工程师,33
2076,519,0,过程质量控制,质量安全类,工业,nan_parent,288,过程质量控制,33
1963,517,0,经纪人,影视类,文化传媒,nan_parent,160537,经纪人,5
1968,517,0,服装师,影视类,文化传媒,nan_parent,120950,服装师,5
1958,517,0,摄影师,影视类,文化传媒,nan_parent,61976,摄影师,5
1964,517,0,后期制作,影视类,文化传媒,nan_parent,34464,后期制作,5
1970,517,0,摄像师,影视类,文化传媒,nan_parent,30521,摄像师,5
1973,517,0,编导,影视类,文化传媒,nan_parent,26341,编导,5
1959,517,0,化妆师,影视类,文化传媒,nan_parent,24701,化妆师,5
1955,517,0,导演,影视类,文化传媒,nan_parent,19422,导演,5
1962,517,0,主持人,影视类,文化传媒,nan_parent,12687,主持人,5
1971,517,0,模特,影视类,文化传媒,nan_parent,7888,模特,5
1967,517,0,造型师,影视类,文化传媒,nan_parent,6884,造型师,5
1960,517,0,演员,影视类,文化传媒,nan_parent,5661,演员,5
1957,517,0,音效师,影视类,文化传媒,nan_parent,2719,音效师,5
1961,517,0,配音员,影视类,文化传媒,nan_parent,2290,配音员,5
1969,517,0,道具师,影视类,文化传媒,nan_parent,2208,道具师,5
1972,517,0,星探,影视类,文化传媒,nan_parent,1974,星探,5
1956,517,0,艺术指导,影视类,文化传媒,nan_parent,890,艺术指导,5
1966,517,0,发行管理,影视类,文化传媒,nan_parent,579,发行管理,5
1965,517,0,放映管理,影视类,文化传媒,nan_parent,267,放映管理,5
98,5,89,音乐音效,影视类,网络游戏,3d美术,146,音乐音效,5
1827,522,0,医疗器械研发,医药研发类,医药,nan_parent,2553,医疗器械研发,54
1826,522,0,医药研发,医药研发类,医药,nan_parent,784,医药研发,54
1856,522,0,临床支持,医药研发类,医药,nan_parent,261,临床支持,54
1845,522,0,诊断试剂研发,医药研发类,医药,nan_parent,151,诊断试剂研发,54
1851,522,0,临床研究协调员,医药研发类,医药,nan_parent,117,临床研究协调员,54
1852,522,0,临床项目经理,医药研发类,医药,nan_parent,81,临床项目经理,54
1829,522,0,基因工程,医药研发类,医药,nan_parent,69,基因工程,54
1846,522,0,抗体研发,医药研发类,医药,nan_parent,64,抗体研发,54
1843,522,0,保健品研发,医药研发类,医药,nan_parent,45,保健品研发,54
1848,522,0,临床发展,医药研发类,医药,nan_parent,3,临床发展,54
1830,522,0,生物化学研发,医药研发类,医药,nan_parent,2,生物化学研发,54
1853,522,0,临床质量,医药研发类,医药,nan_parent,1,临床质量,54
3007,522,0,药物合成,医药研发类,医药,nan_parent,0,nan_pre_name,54
3006,522,0,医学策略,医药研发类,医药,nan_parent,0,nan_pre_name,54
3005,522,0,医学支持,医药研发类,医药,nan_parent,0,nan_pre_name,54
1857,522,0,临床政府事务,医药研发类,医药,nan_parent,0,nan_pre_name,54
1854,522,0,临床公关,医药研发类,医药,nan_parent,0,nan_pre_name,54
1859,522,0,药品注册,医学事务类,医药,nan_parent,2419,药品注册,60
1860,522,0,医疗器械注册,医学事务类,医药,nan_parent,1037,医疗器械注册,60
1824,522,0,医学事务,医学事务类,医药,nan_parent,327,医学事务,60
1825,522,0,医学联络官,医学事务类,医药,nan_parent,238,医学联络员,60
1067,522,0,护士,医疗服务类,医药,nan_parent,157259,护士,57
1063,522,0,医生,医疗服务类,医药,nan_parent,25900,医生,57
1872,522,0,药剂师,医疗服务类,医药,nan_parent,14808,药剂师,57
1868,522,0,营养师,医疗服务类,医药,nan_parent,10409,营养师,57
1863,522,1063,内科医生,医疗服务类,医药,医生,7630,内科医生,57
1871,522,0,理疗师,医疗服务类,医药,nan_parent,5031,理疗师,57
